,id,date,rawContent,cleaned_content
73,21674,2022-08-05 23:46:41+00:00,Patulog palang hahahahahahahhahhahahah,patulog palang hahahahahahahhahhahahah
74,21675,2022-08-05 23:46:14+00:00,Hindi lahat ng naba-blocked pangit. Yung iba hindi lang sadyang photogenic.,hindi lahat ng naba blocked pangit yung iba hindi lang sadyang photogenic
75,21676,2022-08-05 23:45:53+00:00,@nine_monster im not even kidding with manila's puddled roads rn lmfaooo,im not even kidding with manilas puddled roads rn lmfaooo
76,21677,2022-08-05 23:45:50+00:00,"Just posted a photo @ 3B Resort, Antipolo https://t.co/uARmBJtg2c",just posted a photo 3b resort antipolo
77,21678,2022-08-05 23:45:47+00:00,goodmorning,goodmorning
78,21679,2022-08-05 23:45:32+00:00,"@reichlr V i l e
M e a n",v i l e m e a n
79,21680,2022-08-05 23:45:17+00:00,Taena si wolverine ata napulot ko. Puro kalmot talaga 🥹,taena si wolverine ata napulot ko puro kalmot talaga
80,21681,2022-08-05 23:45:05+00:00,Super tambak ng gagawin today 😫,super tambak ng gagawin today
81,21682,2022-08-05 23:45:04+00:00,"Holaaa, muntikan nakong ma deads🥺",holaaa muntikan nakong ma deads
82,21683,2022-08-05 23:44:52+00:00,"Huy nalilibang ako sa Genshin. Gusto ko makaipon ng pang-wish lagi.

 Or baka Quaranthings lang to? HAHAHAHA",huy nalilibang ako sa genshin gusto ko makaipon ng pang wish lagi or baka quaranthings lang to hahahaha
83,21684,2022-08-05 23:44:22+00:00,Sa sobrang antok ko kagabi hindi ko nasampay uniform ko. Kainis,sa sobrang antok ko kagabi hindi ko nasampay uniform ko kainis
84,21685,2022-08-05 23:44:05+00:00,vl ko na next week cutie 😭,vl ko na next week cutie
85,21686,2022-08-05 23:43:56+00:00,"@AkocyekErick Our Father
House of Secrets
The Raincoat Killer
Unsolved Mysteries
The Minimalist",our father house of secrets the raincoat killer unsolved mysteries the minimalist
86,21687,2022-08-05 23:43:10+00:00,The weather 😌 https://t.co/WW1PkpugsL,the weather
87,21688,2022-08-05 23:43:09+00:00,A veces dar tanto no sirve. 🤷🏻‍♂️,a veces dar tanto no sirve
88,21689,2022-08-05 23:42:54+00:00,Ang hirap bumangon na ganto ang panahon 🥹,ang hirap bumangon na ganto ang panahon
89,21690,2022-08-05 23:42:27+00:00,"Loaded kind of night, atleast panalo Arsenal kanina 🥰",loaded kind of night atleast panalo arsenal kanina
90,21691,2022-08-05 23:42:04+00:00,"San Miguel, TNT seek 2-0.leads. Read People's Tonight, Aug. 5
https://t.co/IZMWNTg54d @pbaconnect @SMBeermenTeam  @tnt #PBA #basketball",san miguel tnt seek 2 0 leads read peoples tonight aug 5
91,21692,2022-08-05 23:41:54+00:00,Jusq tapos ako gurangers na di pa rin matapos tapos ang master’s https://t.co/9KAVEcyW9l,jusq tapos ako gurangers na di pa rin matapos tapos ang masters
92,21693,2022-08-05 23:41:41+00:00,nakakamiss talaga 😭😭😭https://t.co/xdthy637gi,nakakamiss talaga
93,21694,2022-08-05 23:41:30+00:00,Morning ALS mapping  #teachersofig #teacherofinstagram #teacherofinstagram #teachers @ Golden Acres National High School https://t.co/DVkhcYLtGT,morning als mapping golden acres national high school
94,21695,2022-08-05 23:41:25+00:00,Panay tuloy ako bahing,panay tuloy ako bahing
95,21696,2022-08-05 23:41:22+00:00,@KenieeeTheGreat Kulang lang yan sa shot chz hugsss behh,kulang lang yan sa shot chz hugsss behh
96,21697,2022-08-05 23:41:03+00:00,#MaligayangPagbabalikCEW https://t.co/UGLXSM74PB,
97,21698,2022-08-05 23:41:01+00:00,Badtrip talaga kapag malamig tsaka sa umaga nag allergic rhinitis ako,badtrip talaga kapag malamig tsaka sa umaga nag allergic rhinitis ako
98,21699,2022-08-05 23:40:56+00:00,@nelanutellaa Ty mommy nela hahahaha,ty mommy nela hahahaha
99,21700,2022-08-05 23:40:53+00:00,Agenda today!!! 🍜 Happy Weekend!!! https://t.co/0xJZjdAqhm,agenda today happy weekend
0,21701,2022-08-06 23:59:59+00:00,"Yeah, need to schedule for everyone's free time. https://t.co/oeHjdQncsz",yeah need to schedule for everyones free time
1,21702,2022-08-06 23:59:57+00:00,"Labs kita, okay ka lang? https://t.co/InSxd2LJlG",labs kita okay ka lang
2,21703,2022-08-06 23:59:53+00:00,"Whatever you're going through, know that it's just a phase. Just like the moon, keep on going.

🌘🌗🌖🌕",whatever youre going through know that its just a phase just like the moon keep on going
3,21704,2022-08-06 23:59:46+00:00,"Thank you po sa lahat, Lord! 🙏🏻😍
💗💗",thank you po sa lahat lord
4,21705,2022-08-06 23:59:06+00:00,@actualcharizard I LIKE #CHARIZARD TOO! 💪🏼🔥,i like too
5,21706,2022-08-06 23:59:01+00:00,Uncoupled makes me cry and left me hanging 😭🥺,uncoupled makes me cry and left me hanging
6,21707,2022-08-06 23:58:29+00:00,@1004ica Yes hahaha,yes hahaha
7,21708,2022-08-06 23:58:28+00:00,One day 🤞🏻,one day
8,21709,2022-08-06 23:58:28+00:00,"Di pa rin ako maka get over sa ambiance na meron ang #SS9inManila kahapon it's not the usual aura that PHELFs have but no one is complaining, no one is blaiming anybody 🥺 I just love this fandom so much 🥺 https://t.co/seJKE1kNG7",di pa rin ako maka get over sa ambiance na meron ang kahapon its not the usual aura that phelfs have but no one is complaining no one is blaiming anybody i just love this fandom so much
9,21710,2022-08-06 23:58:27+00:00,Hindi palaman 'yung laman nung garapon😭 sawsawan 'yon HAHAHA,hindi palaman yung laman nung garapon sawsawan yon hahaha
10,21711,2022-08-06 23:58:15+00:00,Craving 4 a lot of things.,craving 4 a lot of things
11,21712,2022-08-06 23:58:12+00:00,@kimywithjiminie Dapat pero... 😥,dapat pero
12,21713,2022-08-06 23:57:57+00:00,Good morning 💓,good morning
13,21714,2022-08-06 23:57:44+00:00,The way V kiss whoo-shik every morning 😳🥹 Grabeeeee kayo . huhu Sweet V 🥰,the way v kiss whoo shik every morning grabeeeee kayo huhu sweet v
14,21715,2022-08-06 23:57:39+00:00,I'm still looking for my Hi-Hello vid with Eun-woo. 🥺 Baka naman po meron kayo diyan? #StarryCaravanInMNL 🥹,im still looking for my hi hello vid with eun woo baka naman po meron kayo diyan
15,21716,2022-08-06 23:57:20+00:00,"Tuwang-tuwa sila kasi magkamukha raw kami🥹 btw, she looks like Viy wahaha hinanap ko si Kidlat chariz.
(I'm surprised kasi after 8 years kilala pa rin niya ako huhu. Never din naman kami nagkachat. Iyak na ba ako? Eme!) https://t.co/DalgmMO81r",tuwang tuwa sila kasi magkamukha raw kami btw she looks like viy wahaha hinanap ko si kidlat chariz im surprised kasi after 8 years kilala pa rin niya ako huhu never din naman kami nagkachat iyak na ba ako eme
16,21717,2022-08-06 23:56:36+00:00,"Goodmorning, Thankyou Lord!",goodmorning thankyou lord
17,21718,2022-08-06 23:56:25+00:00,@MnatamisNaSugar Gwapaaaaa!!,gwapaaaaa
18,21719,2022-08-06 23:56:22+00:00,Lol https://t.co/HR2qFMHZqT,lol
19,21720,2022-08-06 23:56:11+00:00,@NicaSheyyy Yazz! Tas makikigamit na lang plith 😂,yazz tas makikigamit na lang plith
20,21721,2022-08-06 23:56:06+00:00,"@Neptios_ Aww shii, get well soon sirr!!",aww shii get well soon sirr
21,21722,2022-08-06 23:56:00+00:00,"There is an insurance plan for every budget and need! 🥰

Ask me how. ✨️",there is an insurance plan for every budget and need ask me how
22,21723,2022-08-06 23:55:43+00:00,@adosome_ G na hhah,g na hhah
23,21724,2022-08-06 23:55:35+00:00,eloy at yawi ng buhay ko nakita ko na.,eloy at yawi ng buhay ko nakita ko na
24,21725,2022-08-06 23:55:28+00:00,We were hear -@PodcastNetAsia https://t.co/z9uEKU4bQT,we were hear
25,21726,2022-08-06 23:55:22+00:00,"Good Morning and Blessed Sunday to all! 🫰💚

@Espanto2001 #DarrenEspanto https://t.co/01rWDcBwaI",good morning and blessed sunday to all
26,21727,2022-08-06 23:54:48+00:00,never knew what i was missin',never knew what i was missin
27,21728,2022-08-06 23:54:43+00:00,It's nice to be prepared for the emergencies as early as you can !!! https://t.co/idqzSgkPGm,its nice to be prepared for the emergencies as early as you can
28,21729,2022-08-06 23:54:40+00:00,@Lennard_17 Kaya ngaaa hahaha,kaya ngaaa hahaha
29,21730,2022-08-06 23:54:27+00:00,"@baekgudreamph 💎 HAPPY TEU_YEARS TREA2URE 💎
#TREA2URE_ANNIVER2ARY_2022 
#데뷔2주년_축하해_빛나는트레저
@treasuremembers 

💙💙💙💙💙💙💙💙💙💙💙💙

Mahal ko kayo! Congrats on your 2nd Anniversary! 🎉 I'll continue to support you guys and wait for you guys to be 12 again! 사랑해 트레저! 🥰 https://t.co/UsbW1mDTHL",happy teuyears trea2ure 2 mahal ko kayo congrats on your 2nd anniversary ill continue to support you guys and wait for you guys to be 12 again
30,21731,2022-08-06 23:54:24+00:00,@laiiiiixx ay hehehe ako next week g na,ay hehehe ako next week g na
31,21732,2022-08-06 23:53:32+00:00,"Finally.....

tears of joy💙",finally tears of joy
32,21733,2022-08-06 23:53:13+00:00,"Indeed, a satuday night.",indeed a satuday night
33,21734,2022-08-06 23:53:11+00:00,Have you ever looked at someone while asking yourself kung anong nagawa mo para biyayaan ka ng ganitong klaseng tao?🥺,have you ever looked at someone while asking yourself kung anong nagawa mo para biyayaan ka ng ganitong klaseng tao
34,21735,2022-08-06 23:52:47+00:00,Sunday morning,sunday morning
35,21736,2022-08-06 23:52:45+00:00,Spiraling.,spiraling
36,21737,2022-08-06 23:52:10+00:00,@SJae_gi Oo nga haha see you!,oo nga haha see you
37,21738,2022-08-06 23:51:43+00:00,@OGdukeneurosurg 🤍,
38,21739,2022-08-06 23:51:24+00:00,"@desoireee Mas mamaw kaya iyo, estetiks lang yung akin 🤣🤣",mas mamaw kaya iyo estetiks lang yung akin
39,21740,2022-08-06 23:51:22+00:00,Sobrang stress ko rito kagabi pano ba naman lamang na PLDT ng 2 sets tapos ayon nga ga galing kasi ng coach e walang palit palit hahaha char https://t.co/McpGaat799,sobrang stress ko rito kagabi pano ba naman lamang na pldt ng 2 sets tapos ayon nga ga galing kasi ng coach e walang palit palit hahaha char
40,21741,2022-08-06 23:50:29+00:00,@MnatamisNaSugar Masarap siguro mag forza?? Hahahahahaha,masarap siguro mag forza hahahahahaha
41,21742,2022-08-06 23:50:19+00:00,@smile_U0817 @yg_stage Arigatōgozaimashita,arigatōgozaimashita
42,21743,2022-08-06 23:50:09+00:00,@potatinaaa Am forcing my 1660 dyan... HAHAHAHA,am forcing my 1660 dyan hahahaha
43,21744,2022-08-06 23:50:02+00:00,@macmackuliiit HAHAHHA,hahahha
44,21745,2022-08-06 23:49:33+00:00,super ganda!!!! https://t.co/NPAW7AEer2,super ganda
45,21746,2022-08-06 23:49:33+00:00,@veeromantiko Legit lingon 🤣🤣🤣,legit lingon
46,21747,2022-08-06 23:49:16+00:00,(2) https://t.co/Nz3pdCLava,2
47,21748,2022-08-06 23:49:09+00:00,#BOYCOTTMZETxAPTxGMA516 degreaser,degreaser
48,21749,2022-08-06 23:48:57+00:00,#BOYCOTTMZETxAPTxGMA516 degree,degree
49,21750,2022-08-06 23:48:49+00:00,@ethanthewalrus Anong theme: Balajura extravaganza ganern?!,anong theme balajura extravaganza ganern
50,21751,2022-08-06 23:48:49+00:00,"Thank you, Japan Supporters (Yoopies)! #30thHappyYooSeungHoDay
#HappyYooSeungHoDay",thank you japan supporters yoopies
51,21752,2022-08-06 23:48:39+00:00,@EdLorenceDG Yes baby? What do you want😘,yes baby what do you want
52,21753,2022-08-06 23:48:38+00:00,The question is why am I missing you? 🥺,the question is why am i missing you
53,21754,2022-08-06 23:48:24+00:00,#BOYCOTTMZETxAPTxGMA516 decline,decline
54,21755,2022-08-06 23:48:14+00:00,@neyyneyy__ Gang ngayon di ko pa rin makita original tweet 😑😑😑😑,gang ngayon di ko pa rin makita original tweet
55,21756,2022-08-06 23:48:13+00:00,#BOYCOTTMZETxAPTxGMA516 deck,deck
56,21757,2022-08-06 23:47:54+00:00,#BOYCOTTMZETxAPTxGMA516 decolorizer,decolorizer
57,21758,2022-08-06 23:47:31+00:00,@ch0wder____ Parang sarap laruan ng solitaire 🤣🤣,parang sarap laruan ng solitaire
